Soil,Treatment,Yield,TotalN,Nuptake,Nrecovery,TotalP1,Puptake,Precovery,NO3,NH4,PO4,ResinP,WaterSolP,TotalP2,pH,EC,OC
Haverhill,Manure10thaTSP,9.83,4977.64,48930.2,14.32,1814.19,17833.44,11.46,6.63,7.91,13.37,0.296501488,4.4,524.4,8.06,245,1.92
Haverhill,Manure10thaTSP,9.9,6474.57,64098.24,20.41,2272.68,22499.53,14.95,4.02,9.51,26.68,0.475017954,8.4,636.6,8.09,236,2.01
Haverhill,Manure10thaTSP,9.31,6250.94,58196.25,18.04,2271.08,21143.71,13.94,5.66,8.7,19.48,0.491433262,5.55,606.3,8.06,236,1.98
Haverhill,Willow10thaTSP,10.13,7238.02,73321.09,22.24,1978.43,20041.5,52.25,2.14,8.07,10.36,0.121062891,3.1,505.2,8.03,202,2.13
Haverhill,Willow10thaTSP,6.82,9131.92,62279.66,18.15,2072.59,14135.06,34.62,2.79,8.9,15.32,0.199035601,5.55,536.7,8.02,237,2.01
Haverhill,Willow10thaTSP,7.5,8162.5,61218.71,17.75,1976.83,14826.19,36.68,3.14,9.26,12.51,0.123114805,4.05,529.5,8.06,198,2.3
Haverhill,Willow10thaTSP,11.16,6245.06,69694.81,20.89,1753.2,19565.66,50.83,4.54,10.44,11.47,0.185698164,3.5,499.2,8.07,203,2.12
Haverhill,TripleSuperPhosphate,6.02,7384.07,44452.1,15.58,2159.8,13001.97,41.85,2.37,7.32,14.59,0.139530112,3.65,501.9,8.08,201,1.85
Haverhill,TripleSuperPhosphate,9.86,5832.04,57503.87,22.11,1823.28,17977.54,61.76,3.87,8.1,11.83,0.070791013,3,496.2,8.1,193,1.92
Haverhill,TripleSuperPhosphate,8.63,6809.48,58765.81,22.74,1882.67,16247.4,54.84,2.94,9.09,11.21,0.09028419,3.35,528.6,8.06,215,1.86
Haverhill,TripleSuperPhosphate,10.51,5490.71,57707.31,22.21,1751.59,18409.21,63.48,5.61,7.82,13.04,0.068739099,3.3,482.4,8.06,220,1.88
Oxbow,Control1,1.49,5581.12,8315.87,,1044.86,1556.83,,10.66,10.18,1.95,0.069765056,2.1,544.5,8.08,201,2.67
Oxbow,Control1,0.94,4332.43,4072.48,,764.52,718.64,,22.44,9.98,2.03,0.061557402,1.95,524.1,7.99,232,3.06
Oxbow,Control1,1.6,6247.2,9995.51,,911.11,1457.77,,8.43,9.83,2.22,0.076946753,2.15,537.3,8.01,201,2.79
Oxbow,Control1,1.2,6975.33,8370.4,,1104.24,1325.09,,17.93,11.91,3.14,0.095413974,2.45,524.1,7.95,243,2.78
Oxbow,Control2,2,30325.94,60651.88,26.48,1395.28,2790.56,,5.13,14.41,2.99,0.095413974,3.1,524.4,7.98,208,2.8
Oxbow,Control2,3.01,25604.57,77069.74,34.69,1054.49,3174,,11.64,12.47,2.56,0.076946753,2.55,555.9,7.97,233,2.77
Oxbow,Control2,2.3,19668.74,45238.1,18.77,910.04,2093.08,,20.47,11.36,2.26,0.036934441,1.8,578.1,7.95,265,2.85
Oxbow,Control2,3.17,24111.38,76433.07,34.37,1013.29,3212.13,,9.73,23.39,2.91,0.075920796,2.65,517.5,7.97,235,2.91
Oxbow,CanolaMeal50kgha,1.98,12447.85,24646.73,6.37,944.28,1869.66,-3.79,11.35,12.69,2.73,0.086180363,2.5,541.8,7.94,245,2.85
Oxbow,CanolaMeal50kgha,3.91,18718.58,73189.65,24.6,965.14,3773.7,3.83,11.11,15.22,2.36,0.107725454,2.2,546,7.98,221,2.66
Oxbow,CanolaMeal50kgha,1.76,19516.27,34348.63,10.01,1113.87,1960.41,-3.43,10.51,9.77,2.49,0.123114805,2.1,555.3,8.01,211,2.92
Oxbow,CanolaMeal50kgha,3.54,25518.43,90335.24,31.04,1162.56,4115.44,5.19,9.78,9.87,2.42,0.080024623,2.65,500.7,7.96,246,2.87
Oxbow,CanolaHull50kgha,8.19,8021.79,65698.46,16.46,1170.05,9582.67,27.06,3.77,15.17,2.67,0.08720632,2.95,537.3,7.89,299,3.21
Oxbow,CanolaHull50kgha,3.69,11782.84,43478.68,10.16,722.79,2667.08,-0.6,28.59,13.72,2.59,0.025648918,1.85,599.1,7.86,412,3.13
Oxbow,CanolaHull50kgha,3.1,25245.05,78259.64,20.02,991.89,3074.86,1.03,8.94,21.25,3.39,0.111829281,2.95,509.4,7.91,352,3.27
Oxbow,CanolaHull50kgha,4.24,13526.94,57354.23,14.09,996.71,4226.03,5.63,6.05,15.57,2.89,0.142607982,2.7,524.4,7.96,287,3.43
Oxbow,Manure50kgha,5.39,14816.83,79862.69,34.16,1151.32,6205.61,13.55,5.4,19.82,2.4,0.107725454,2.95,516.9,7.99,216,2.99
Oxbow,Manure50kgha,5.83,17152.64,99999.86,43.69,1263.67,7367.2,18.2,5.1,22.53,2.79,0.113881194,2.9,526.2,7.97,230,3.04
Oxbow,Manure50kgha,6.88,12785.43,87963.76,38,1632.29,11230.12,33.65,4.03,15.85,2.2,0.137478198,2.65,538.8,7.95,220,2.91
Oxbow,Manure50kgha,8.92,7623.75,68003.85,28.55,1164.16,10384.31,30.27,8,27.09,2.69,0.130296501,3.1,548.4,7.99,216,3.03
Oxbow,Willow50kgha,9.83,7878.41,77444.77,17.18,1666.53,16381.94,54.26,3.8,10.04,3.32,0.130296501,3.6,533.7,7.93,253,4.59
Oxbow,Willow50kgha,10.12,7112.83,71981.79,15.84,1569.16,15879.85,52.25,3.19,19.66,2.84,0.08720632,2.65,525.6,8,219,3.64
Oxbow,Willow50kgha,10.21,7416.17,75719.1,16.76,1413.47,14431.53,46.46,4.45,16.85,2.52,0.068739099,2.85,618.3,7.98,239,3.66
Oxbow,Willow50kgha,7.69,7709.35,59284.9,12.71,1194.66,9186.9,25.48,3.46,13.12,2.51,0.120036934,3,537.6,7.94,229,3.42
Oxbow,CanolaMeal10tha,10.3,8146.98,83913.89,12.62,1571.83,16189.85,8.8,3.43,12.58,2.78,0.111829281,3.1,613.8,7.91,218,2.85
Oxbow,CanolaMeal10tha,9.86,7861.29,77512.32,11.56,1342.32,13235.23,6.85,3.29,12.98,2.79,0.083102493,3.6,650.1,7.9,239,3.01
Oxbow,CanolaMeal10tha,8.51,9219.12,78454.71,11.72,1739.82,14805.87,7.89,2.79,9.49,2.6,0.115933108,3,604.2,7.93,211,2.93
Oxbow,CanolaMeal10tha,6.53,6728.7,43938.38,6,1600.19,10449.21,5.02,2.95,10.59,2.56,0.110803324,2.7,591.3,7.96,224,2.61
Oxbow,CanolaHull10tha,4.12,9878.24,40698.35,8.98,908.97,3744.94,3.37,22.84,10.14,4.11,0.094388017,3.1,524.1,7.93,325,2.65
Oxbow,CanolaHull10tha,4.78,17168.15,82063.76,20.24,1863.94,8909.63,22.15,4.2,13.25,3.43,0.095413974,2.85,514.5,7.94,319,2.88
Oxbow,CanolaHull10tha,4.74,14213.35,67371.26,16.24,1167.37,5533.33,9.88,5.79,18,3.24,0.100543757,3.15,505.2,7.96,344,2.97
Oxbow,CanolaHull10tha,3.75,17628.25,66105.94,15.9,1028.81,3858.02,3.78,5.16,9.69,2.89,0.100543757,2.7,510.9,7.98,263,2.69
Oxbow,Manure10tha,9.9,7169,70973.1,25.42,1820.61,18023.99,14.02,3.27,16.04,3.43,0.150815636,3.4,523.2,8,238,2.59
Oxbow,Manure10tha,9.46,7654.25,72409.16,25.99,1880.53,17789.77,13.8,3.48,10.78,5.22,0.172360726,4,538.8,7.96,264,2.62
Oxbow,Manure10tha,9.35,5958.3,55710.06,19.29,1899.25,17757.99,13.77,3.26,10.62,3.7,0.141582025,3.3,519,7.97,294,2.48
Oxbow,Manure10tha,10.22,6076.53,62102.14,21.85,1859.13,19000.26,14.92,4.8,11.34,7.28,0.221606648,4.9,591.3,7.99,245,2.62
Oxbow,Willow10tha,8.5,6413.58,54515.43,17.34,977.98,8312.83,64.65,9.39,20.26,2.21,0.124140761,2.65,499.5,7.64,230,2.58
Oxbow,Willow10tha,4.4,10356.53,45568.73,14.03,946.42,4164.23,15.84,13.31,12.5,2.95,0.088232277,2.65,474.9,7.6,282,2.82
Oxbow,Willow10tha,5.25,13668.18,71757.95,23.73,1205.36,6328.11,41.3,12.31,12.75,2.35,0.069765056,1.95,538.2,7.68,249,2.93
Oxbow,Willow10tha,3.45,14403.81,49693.13,15.56,805.18,2777.85,-0.47,23.48,12.57,2.13,0.053349749,2.05,534.3,7.7,300,2.59
Oxbow,CanolaMeal10thaTSP,12.7,6919.16,87873.27,13.28,1943.12,24677.62,12.35,3.49,2.37,2.82,0.169282856,3.95,579.3,7.72,236,2.67
Oxbow,CanolaMeal10thaTSP,12.03,6908.99,83115.15,12.49,1885.34,22680.64,11.22,3.1,2.69,2.96,0.179542423,4.05,624.3,7.71,215,2.65
Oxbow,CanolaMeal10thaTSP,9.09,7177.56,65244.02,9.53,2255.03,20498.18,9.99,7.38,2.99,3.36,0.173386683,3.55,568.2,7.74,210,2.62
Oxbow,CanolaMeal10thaTSP,9.78,7989.69,78139.17,11.66,1951.15,19082.2,9.19,4.92,3.06,5.93,0.26161896,5.85,676.2,7.72,232,3.24
Oxbow,CanolaHull10thaTSP,8.46,8219.74,69539,16.83,1988.6,16823.51,26.68,5.65,4.55,5.6,0.170308813,4.15,533.7,7.71,358,2.6
Oxbow,CanolaHull10thaTSP,7.71,7097.31,54720.26,12.8,1923.33,14828.84,22.88,4.17,4.18,5.53,0.187750077,5.45,572.7,7.71,366,2.7
Oxbow,CanolaHull10thaTSP,10.45,6100.07,63745.73,15.25,1687.39,17633.23,28.22,6.21,3.93,4.2,0.130296501,3.4,477,7.71,331,2.54
Oxbow,CanolaHull10thaTSP,10.05,6139.13,61698.21,14.7,1720.03,17286.25,27.56,3.7,3.37,4.21,0.181594337,4.8,546.9,7.71,283,2.75
Oxbow,Manure10thaTSP,10.56,6577.29,69456.18,24.81,2100.95,22185.98,14.51,3.67,3.14,9.76,0.372422284,7.8,555.3,7.8,262,2.49
Oxbow,Manure10thaTSP,12.7,6669.85,84707.03,30.93,2196.18,27891.42,18.78,4.33,4.28,11.74,0.53862727,8.8,572.4,7.79,243,2.6
Oxbow,Manure10thaTSP,12.71,6127.36,77878.68,28.19,2128.23,27049.8,18.15,4.17,4.18,9.48,0.252385349,6.85,579.9,7.8,220,2.8
Oxbow,Manure10thaTSP,14.47,5372.47,77739.64,28.13,2020.16,29231.72,19.79,6.7,3.52,5.26,0.284190007,4.2,614.7,7.81,238,2.45
Oxbow,Willow10thaTSP,12.91,5993.07,77370.53,25.81,1335.9,17246.4,43.07,4.77,3.68,2.13,0.136452242,2.9,514.8,7.82,210,2.99
Oxbow,Willow10thaTSP,12.48,5768.37,71989.26,23.82,1652.08,20617.96,53.14,3.66,3.4,2.34,0.103621627,3.05,524.1,7.82,207,2.76
Oxbow,Willow10thaTSP,11.15,6849.07,76367.13,25.44,1665.46,18569.82,47.02,2.94,3.53,2.75,0.176464553,3.55,531.6,7.81,207,2.82
Oxbow,Willow10thaTSP,10.33,7307.57,75487.15,25.11,1805.09,18646.58,47.25,3.94,3.77,3.19,0.148763722,3.75,564.6,7.81,222,2.7
Oxbow,TripleSuperPhosphate,8.39,9117.47,76495.57,34.4,1850.03,15521.75,50.82,8.07,4.35,3.07,0.163127116,3.15,496.5,7.83,207,2.49
Oxbow,TripleSuperPhosphate,8.28,7984.88,66114.77,29.21,1632.29,13515.32,42.79,3.35,4.33,3.47,0.172360726,3.8,550.5,7.81,241,2.49
Oxbow,TripleSuperPhosphate,9.58,6927.72,66367.51,29.34,1419.36,13597.42,43.12,5.17,4.65,3.51,0.156971376,3.2,540,7.83,224,2.57
Oxbow,TripleSuperPhosphate,11.62,6433.38,74755.82,33.53,1407.05,16349.92,54.13,9.18,5.11,2.47,0.176464553,2.95,554.1,7.86,212,2.43
,,,,,,,,,,,,0,,,,,
