Soil,Treatment,Yield,Nuptake,Nrecovery,Puptake,Precovery,NO3,NH4,PO4,ResinP,WaterSolP,TotalP2,pH,EC,OC,CharPRate,CharPerc
Oxbow,Control2,3.17,76.43,34.37,3.21,NA,9.73,,2.91,0.08,2.65,517.5,7.97,235,2.91,NA,NA
Oxbow,CanolaMeal50kgha,1.98,24.65,6.37,1.87,-3.79,11.35,12.69,2.73,0.09,2.5,541.8,7.94,245,2.85,25000,3.04
Oxbow,CanolaMeal50kgha,3.91,73.19,24.6,3.77,3.83,11.11,15.22,2.36,0.11,2.2,546,7.98,221,2.66,25001,3.041
Oxbow,CanolaMeal50kgha,1.76,34.35,10.01,1.96,-3.43,10.51,9.77,2.49,0.12,2.1,555.3,8.01,211,2.92,24999,3.039
Oxbow,CanolaMeal50kgha,3.54,90.34,31.04,4.12,5.19,9.78,9.87,2.42,0.08,2.65,,7.96,246,2.87,25000,3.04
Oxbow,CanolaHull50kgha,NA,65.7,16.46,9.58,NA,3.77,15.17,2.67,0.09,2.95,537.3,7.89,299,3.21,25000,0.55
Oxbow,CanolaHull50kgha,3.69,43.48,10.16,2.67,-0.6,,13.72,2.59,0.03,1.85,599.1,7.86,412,3.13,25001,0.551
Oxbow,CanolaHull50kgha,3.1,78.26,20.02,3.07,1.03,8.94,,3.39,0.11,2.95,509.4,7.91,352,3.27,24999,0.549
Oxbow,CanolaHull50kgha,4.24,57.35,14.09,4.23,5.63,6.05,15.57,2.89,0.14,2.7,524.4,7.96,287,3.43,25000,0.55
Oxbow,Manure50kgha,5.39,79.86,34.16,6.21,13.55,5.4,19.82,2.4,0.11,2.95,516.9,7.99,216,2.99,25000,2.17
Oxbow,Manure50kgha,5.83,100,43.69,7.37,18.2,5.1,22.53,2.79,0.11,2.9,526.2,7.97,230,3.04,25001,2.171
Oxbow,Manure50kgha,6.88,87.96,38,11.23,33.65,4.03,15.85,2.2,0.14,2.65,538.8,7.95,220,2.91,24999,2.169
Oxbow,Manure50kgha,8.92,68,28.55,10.38,30.27,NA,27.09,2.69,0.13,3.1,548.4,7.99,216,3.03,25000,2.17
Oxbow,Willow50kgha,9.83,77.44,17.18,16.38,54.26,3.8,10.04,3.32,0.13,3.6,533.7,7.93,253,,25000,0.17
Oxbow,Willow50kgha,10.12,71.98,15.84,15.88,52.25,3.19,19.66,2.84,0.09,2.65,525.6,8,219,3.64,25001,0.171
Oxbow,Willow50kgha,10.21,75.72,16.76,14.43,46.46,4.45,16.85,2.52,0.07,2.85,,7.98,239,3.66,24999,0.169
Oxbow,Willow50kgha,NA,59.28,12.71,9.19,25.48,3.46,13.12,2.51,0.12,3,537.6,7.94,229,3.42,25000,0.17
Oxbow,CanolaMeal10tha,10.3,83.91,12.62,16.19,8.8,3.43,12.58,2.78,0.11,3.1,613.8,7.91,218,2.85,152000,3.04
Oxbow,CanolaMeal10tha,9.86,77.51,11.56,13.24,6.85,3.29,12.98,2.79,,3.6,650.1,7.9,239,3.01,151999,3.041
Oxbow,CanolaMeal10tha,8.51,78.45,11.72,14.81,7.89,2.79,9.49,2.6,0.12,3,604.2,7.93,211,2.93,152001,3.039
Oxbow,CanolaMeal10tha,6.53,NA,NA,10.45,5.02,2.95,10.59,2.56,0.11,2.7,591.3,7.96,224,2.61,15200,3.04
Oxbow,CanolaHull10tha,4.12,NA,NA,3.74,3.37,NA,10.14,4.11,0.09,3.1,524.1,7.93,325,2.65,27500,0.55
Oxbow,CanolaHull10tha,4.78,82.06,20.24,8.91,22.15,4.2,13.25,3.43,0.1,2.85,514.5,7.94,319,2.88,27501,0.551
Oxbow,CanolaHull10tha,4.74,67.37,16.24,5.53,9.88,5.79,18,3.24,0.1,3.15,505.2,7.96,344,2.97,27499,0.549
Oxbow,CanolaHull10tha,3.75,66.11,15.9,3.86,3.78,5.16,9.69,2.89,0.1,2.7,510.9,7.98,,2.69,27500,0.55
Oxbow,Manure10tha,9.9,70.97,25.42,18.02,14.02,3.27,,3.43,0.15,3.4,523.2,8,238,2.59,108500,2.17
Oxbow,Manure10tha,9.46,72.41,25.99,17.79,13.8,3.48,10.78,5.22,0.17,4,538.8,7.96,264,2.62,108501,2.171
Oxbow,Manure10tha,9.35,55.71,19.29,17.76,13.77,3.26,10.62,3.7,0.14,3.3,519,7.97,294,2.48,108499,2.169
Oxbow,Manure10tha,10.22,62.1,21.85,19,14.92,NA,11.34,7.28,0.22,4.9,591.3,7.99,245,2.62,108500,2.17
Oxbow,Willow10tha,8.5,54.52,17.34,8.31,64.65,9.39,,2.21,0.12,2.65,499.5,7.64,230,2.58,78500,0.17
Oxbow,Willow10tha,4.4,45.57,14.03,4.16,15.84,13.31,12.5,2.95,0.09,2.65,474.9,7.6,282,2.82,78501,0.171
Oxbow,Willow10tha,5.25,71.76,23.73,6.33,41.3,12.31,12.75,2.35,0.07,1.95,538.2,7.68,249,2.93,78499,0.169
