"","Var1","variable","Covariance","treatment"
"240","NO3","TotalP2",0.300033657055346,"CanolaMeal10thaTSP"
"241","NH4","TotalP2",0.152173176498714,"CanolaMeal10thaTSP"
"242","PO4","TotalP2",-0.219478848918873,"CanolaMeal10thaTSP"
"243","ResinP","TotalP2",0.164079658433975,"CanolaMeal10thaTSP"
"244","WaterSolP","TotalP2",-0.092663594508137,"CanolaMeal10thaTSP"
"245","TotalP2","TotalP2",0.745875467054924,"CanolaMeal10thaTSP"
"246","Drywt","Drywt",0.024959301394242,"CanolaMeal50kgha"
"247","NO3","Drywt",-0.00909650627604365,"CanolaMeal50kgha"
"248","NH4","Drywt",-0.178649137437726,"CanolaMeal50kgha"
"249","PO4","Drywt",0.00462280708782631,"CanolaMeal50kgha"
"250","ResinP","Drywt",0.0196389746372194,"CanolaMeal50kgha"
"251","WaterSolP","Drywt",0.0161030607588387,"CanolaMeal50kgha"
"252","TotalP2","Drywt",0.0883224940657898,"CanolaMeal50kgha"
"253","Drywt","NO3",-0.00909650627604365,"CanolaMeal50kgha"
"254","NO3","NO3",0.00659374083958227,"CanolaMeal50kgha"
"255","NH4","NO3",0.0922480617551146,"CanolaMeal50kgha"
"256","PO4","NO3",0.000408613217507432,"CanolaMeal50kgha"
"257","ResinP","NO3",-0.0104282431998614,"CanolaMeal50kgha"
"258","WaterSolP","NO3",0.002291109131426,"CanolaMeal50kgha"
"259","TotalP2","NO3",-0.0214941369290004,"CanolaMeal50kgha"
"260","Drywt","NH4",-0.178649137437726,"CanolaMeal50kgha"
"261","NO3","NH4",0.0922480617551146,"CanolaMeal50kgha"
"262","NH4","NH4",1.50335209617833,"CanolaMeal50kgha"
"263","PO4","NH4",-0.0157593848434069,"CanolaMeal50kgha"
"264","ResinP","NH4",-0.167642967916449,"CanolaMeal50kgha"
"265","WaterSolP","NH4",-0.0477130853787013,"CanolaMeal50kgha"
"266","TotalP2","NH4",-0.543644711659772,"CanolaMeal50kgha"
"267","Drywt","PO4",0.00462280708782631,"CanolaMeal50kgha"
"268","NO3","PO4",0.000408613217507432,"CanolaMeal50kgha"
